graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,metric,primary_value,comparator_value,comparator_instances,delta
graph_00,industrial_cooling_system,0,node_012,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,gold_embedding_cosine,0.9270087350848031,0.7746571781835496,20,0.15235155690125346
graph_00,industrial_cooling_system,0,node_012,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,mrr,0.3333333333333333,0.19312069874569876,20,0.14021263458763455
graph_00,industrial_cooling_system,0,node_012,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_1,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_5,1.0,0.45,20,0.55
graph_00,industrial_cooling_system,0,node_012,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,exact_decode,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,gold_embedding_cosine,0.9270087350848031,0.9035087485611298,1,0.023499986523673244
graph_00,industrial_cooling_system,0,node_012,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,mrr,0.3333333333333333,0.25,1,0.08333333333333331
graph_00,industrial_cooling_system,0,node_012,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_5,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,gold_embedding_cosine,0.9270087350848031,0.9250546629502872,1,0.0019540721345159273
graph_00,industrial_cooling_system,0,node_012,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,mrr,0.3333333333333333,0.1111111111111111,1,0.2222222222222222
graph_00,industrial_cooling_system,0,node_012,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,gold_embedding_cosine,0.9270087350848031,0.9297508324274096,1,-0.002742097342606553
graph_00,industrial_cooling_system,0,node_012,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,mrr,0.3333333333333333,0.2,1,0.1333333333333333
graph_00,industrial_cooling_system,0,node_012,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_5,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_012,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,match_acc,1.0,0.4,20,0.6
graph_00,industrial_cooling_system,0,node_018,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,gold_embedding_cosine,0.8780650110324725,0.8317652118768578,20,0.04629979915561466
graph_00,industrial_cooling_system,0,node_018,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,mrr,0.25,0.13988228360906382,20,0.11011771639093618
graph_00,industrial_cooling_system,0,node_018,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_1,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_5,1.0,0.3,20,0.7
graph_00,industrial_cooling_system,0,node_018,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,exact_decode,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,gold_embedding_cosine,0.8780650110324725,0.9072555159092976,1,-0.029190504876825174
graph_00,industrial_cooling_system,0,node_018,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,mrr,0.25,0.3333333333333333,1,-0.08333333333333331
graph_00,industrial_cooling_system,0,node_018,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_5,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,match_acc,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,gold_embedding_cosine,0.8780650110324725,0.9011856317361534,1,-0.023120620703680927
graph_00,industrial_cooling_system,0,node_018,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,mrr,0.25,0.05263157894736842,1,0.19736842105263158
graph_00,industrial_cooling_system,0,node_018,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,gold_embedding_cosine,0.8780650110324725,0.9072702193509864,1,-0.02920520831851392
graph_00,industrial_cooling_system,0,node_018,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,mrr,0.25,0.05263157894736842,1,0.19736842105263158
graph_00,industrial_cooling_system,0,node_018,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,0,node_018,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,match_acc,1.0,0.4,20,0.6
graph_00,industrial_cooling_system,1,node_001,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,gold_embedding_cosine,0.6094464120241153,0.7278927432530943,20,-0.11844633122897896
graph_00,industrial_cooling_system,1,node_001,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,mrr,0.5,0.1973051948051948,20,0.3026948051948052
graph_00,industrial_cooling_system,1,node_001,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_1,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_5,1.0,0.4,20,0.6
graph_00,industrial_cooling_system,1,node_001,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,exact_decode,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,gold_embedding_cosine,0.6094464120241153,0.8753109491753207,1,-0.2658645371512054
graph_00,industrial_cooling_system,1,node_001,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,mrr,0.5,0.5,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_5,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,exact_decode,0.0,0.0,1,0.0
