graph_id,world,shuffle_id,permutation_index,permutation_seed,permutation,permutation_sha256,adjacency_sha256,edge_count,support_validated,n,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,oracle_minus_shuffle_match_acc,oracle_minus_shuffle_gold_embedding_cosine,oracle_minus_shuffle_mrr,oracle_minus_shuffle_recall_at_1,oracle_minus_shuffle_recall_at_5,oracle_minus_shuffle_exact_decode
graph_01,logistics_and_delivery_system,shuffle_01,1,74202,"[10, 0, 1, 8, 18, 7, 11, 3, 15, 19, 17, 4, 12, 14, 2, 16, 6, 5, 9, 13]",b811781a6956c54fe990e8f50551d0a7bfa8009c797718574cb338bee70db303,1da893d313c964dccfb19871d84f0c6df4046bbaac0f01c8a2b49f3162fa9135,29,1,20,0.55,0.7657533970845991,0.18374735859255983,0.0,0.35,0.0,-0.050000000000000044,0.04583117084949784,0.020740375895174662,0.0,0.15000000000000002,0.0
graph_01,logistics_and_delivery_system,shuffle_02,2,74203,"[8, 17, 2, 19, 1, 18, 0, 12, 13, 16, 9, 6, 3, 7, 10, 11, 5, 15, 14, 4]",ec6ab7942cd692987279835c7f6c0ac88798c87876c45d27956dcf611c5ccc04,ee744fc162ada041a3efbd5bc781658e692ff4f023c8a032e2a96108d002f372,29,1,20,0.3,0.8094296703780429,0.14415549728049729,0.0,0.25,0.0,0.2,0.002154897556054025,0.06033223720723721,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,shuffle_03,3,74204,"[3, 18, 4, 0, 7, 15, 13, 11, 16, 14, 1, 19, 9, 2, 17, 5, 10, 6, 12, 8]",aeb31e1611d444dd790537fb67c01cf2e8a12a165cfe9c2fd48854bb9a7fc661,513895393e50b5320dd1ed59063734074ab0fcdb4a85ac34dfb249365ed5a6d2,29,1,20,0.2,0.8091383126702173,0.12401535964035963,0.0,0.15,0.0,0.3,0.0024462552638796486,0.08047237484737486,0.0,0.35,0.0
graph_01,logistics_and_delivery_system,shuffle_04,4,74205,"[18, 3, 1, 16, 0, 9, 10, 12, 17, 19, 8, 13, 4, 6, 11, 2, 7, 5, 15, 14]",c868419af6f9424e1a91343612dee9a465d6535b63193ed5411e0c93768f6f4a,cea4c3645f0208f3755e23b25590fd06ce5f774999d6bf7bbaf311ee0990277d,29,1,20,0.6,0.7480330784417747,0.20427830940988834,0.0,0.45,0.0,-0.09999999999999998,0.06355148949232226,0.00020942507784615927,0.0,0.04999999999999999,0.0
graph_01,logistics_and_delivery_system,shuffle_05,5,74206,"[17, 13, 16, 12, 9, 3, 5, 11, 8, 14, 6, 4, 2, 15, 0, 10, 7, 19, 1, 18]",3d35d4a26049870a0b9399d1db921b2922c74cce9a693888200b100dc97984a0,c046c265dc6dd0c1ecca8b792f8396bb795ab58647d0e137b4256c919f9036e2,29,1,20,0.2,0.6356247640339997,0.11519286269286269,0.0,0.15,0.0,0.3,0.17595980390009724,0.0892948717948718,0.0,0.35,0.0
graph_01,logistics_and_delivery_system,shuffle_06,6,74207,"[18, 4, 11, 6, 16, 15, 8, 19, 12, 7, 13, 10, 14, 1, 9, 17, 5, 2, 0, 3]",72186a6fcd097cf4bf340d6adcfebd3b900a154c06df38a2c8a1f23ccbc9ffa6,9b51c8938d6cbdec3072eda93c6ead98057d2f3c4a1564903e94b062313ebfda,29,1,20,0.25,0.7542308031255123,0.13182234432234435,0.0,0.2,0.0,0.25,0.05735376480858467,0.07266539016539014,0.0,0.3,0.0
graph_01,logistics_and_delivery_system,shuffle_07,7,74208,"[18, 14, 17, 15, 5, 4, 16, 0, 2, 7, 13, 11, 19, 9, 12, 3, 8, 1, 6, 10]",155738d55d14eeedbfa693b0a1338b48e6d60e007c0868b43f98944f958ddca8,838ed5d11be795f19c23d1ef4c235aedfe117182cce068097e7a71cc3fb56d32,29,1,20,0.3,0.7907349022532463,0.18556277056277054,0.0,0.4,0.0,0.2,0.02084966568085067,0.018924963924963956,0.0,0.09999999999999998,0.0
graph_01,logistics_and_delivery_system,shuffle_08,8,74209,"[11, 5, 14, 4, 0, 8, 13, 3, 16, 6, 18, 17, 10, 1, 12, 7, 19, 9, 15, 2]",9a965e5c896c9b9f20d01e6aed3db2ceb8fad710f3000c48d0763ff64f071bc1,bbd6d000e0ef219c6638f0515fbe30672a7785e51186b414c005d4297133e13c,29,1,20,0.7,0.7424457390827681,0.15341831779331783,0.0,0.35,0.0,-0.19999999999999996,0.06913882885132883,0.05106941669441667,0.0,0.15000000000000002,0.0
graph_01,logistics_and_delivery_system,shuffle_09,9,74210,"[15, 4, 17, 3, 12, 1, 13, 18, 7, 5, 6, 11, 9, 2, 0, 14, 8, 19, 16, 10]",184e755ed186a1781b54326558d7ecd663164db3574b31678c3a5539aec898ed,bf5e81da3c893bdf7549927edaa06ec1169289d23cb1423375ca7a29f1341009,29,1,20,0.35,0.6113086548415341,0.1570648540056435,0.05,0.25,0.05,0.15000000000000002,0.20027591309256287,0.04742288048209101,-0.05,0.25,-0.05
graph_01,logistics_and_delivery_system,shuffle_10,10,74211,"[18, 11, 2, 4, 0, 12, 8, 14, 5, 16, 9, 1, 19, 10, 6, 3, 13, 15, 7, 17]",69cbc7ece1f3c5c586c806c4a1d0396646ef47929ce899335adb6a077b5252a4,b6db02efee1a190eecafbe050a7dd419542698be6cc1eac12ec1a548a0f341fa,29,1,20,0.55,0.7127772856660806,0.12349463036963038,0.0,0.1,0.0,-0.050000000000000044,0.09880728226801638,0.08099310411810412,0.0,0.4,0.0
