row_type,scope,graph_id,arm,comparison,metric,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,mean,ci_low,ci_high,confidence_level,paired_win_rate,bootstrap_positive_rate,draws,seed,n_graphs,n_folds,n_nodes
comparison,graph,graph_01,,oracle_vs_rawcorr,gold_embedding_cosine,,,,,,,,,,-0.10624186818154682,-0.18349750557553063,-0.04794135096449379,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_rawcorr,gold_embedding_cosine,,,,,,,,,,-0.16591304888752512,-0.3013515165494147,-0.07837009719114992,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_rawcorr,mrr,,,,,,,,,,0.10412916639890324,0.050245785557608315,0.17148794352577246,0.95,0.8166666666666667,1.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_rawcorr,mrr,,,,,,,,,,0.17016909260330315,0.11310833975965559,0.236312996031746,0.95,0.9,1.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_rawcorr,mrr,,,,,,,,,,0.08448898323898323,0.03675901875901876,0.14210407647907647,0.95,0.7,1.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_rawcorr,mrr,,,,,,,,,,0.05772942335442336,0.02156731135436631,0.09556830076528221,0.95,0.85,0.9998,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_rawcorr,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_rawcorr,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_rawcorr,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_rawcorr,recall_at_1,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_rawcorr,recall_at_5,,,,,,,,,,0.4,0.21666666666666667,0.6,0.95,0.4,1.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_rawcorr,recall_at_5,,,,,,,,,,0.55,0.25,0.85,0.95,0.55,1.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_rawcorr,recall_at_5,,,,,,,,,,0.35,0.1,0.6,0.95,0.35,0.9979,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_rawcorr,recall_at_5,,,,,,,,,,0.3,0.05,0.55,0.95,0.3,0.9947,10000,88175,1,5,20
comparison,aggregate,aggregate,,oracle_vs_rawcorr,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,3,15,60
comparison,graph,graph_00,,oracle_vs_rawcorr,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88173,1,5,20
comparison,graph,graph_01,,oracle_vs_rawcorr,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,1,5,20
comparison,graph,graph_02,,oracle_vs_rawcorr,exact_decode,,,,,,,,,,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,1,5,20
