scope,graph_id,arm,diagnostic,stratum,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
graph,graph_00,core_reversed_graph,root_status,root,6,,pending,0.8333333333333334,0.841921011491912,0.3432539682539682,0.0,0.6666666666666666,0.0
graph,graph_00,raw_correlation,root_status,non_root,14,,pending,0.8571428571428571,0.9150089964090541,0.10213939151909077,0.0,0.14285714285714285,0.0
graph,graph_00,raw_correlation,root_status,root,6,,pending,0.6666666666666666,0.913732557234765,0.14325396825396824,0.0,0.3333333333333333,0.0
graph,graph_00,uniform,root_status,non_root,14,,pending,0.42857142857142855,0.9119275647848306,0.07421003489114944,0.0,0.0,0.0
graph,graph_00,uniform,root_status,root,6,,pending,0.3333333333333333,0.9187519864295469,0.09209656084656086,0.0,0.0,0.0
graph,graph_01,core_oracle_estimated_weights,root_status,non_root,14,,pending,0.42857142857142855,0.8940597456132048,0.19268965161822305,0.0,0.5,0.0
graph,graph_01,core_oracle_estimated_weights,root_status,root,6,,pending,0.6666666666666666,0.6191424866828449,0.2320165945165945,0.0,0.5,0.0
graph,graph_01,core_oracle_true_weights,root_status,non_root,14,,pending,0.42857142857142855,0.9007548967789799,0.1819160997732426,0.0,0.42857142857142855,0.0
graph,graph_01,core_oracle_true_weights,root_status,root,6,,pending,0.6666666666666666,0.6554309430632795,0.2320165945165945,0.0,0.5,0.0
graph,graph_01,core_shuffled_graph,root_status,non_root,280,,pending,0.3357142857142857,0.7988437821183464,0.14660650840203582,0.0,0.25,0.0
graph,graph_01,core_shuffled_graph,root_status,root,120,,pending,0.425,0.61106426406119,0.1472329462548116,0.008333333333333333,0.25,0.008333333333333333
graph,graph_01,core_reversed_graph,root_status,non_root,14,,pending,0.5714285714285714,0.8860851910657684,0.15542307832223798,0.0,0.2857142857142857,0.0
graph,graph_01,core_reversed_graph,root_status,root,6,,pending,0.8333333333333334,0.8807664198646196,0.19940476190476186,0.0,0.5,0.0
graph,graph_01,raw_correlation,root_status,non_root,14,,pending,0.5,0.9227933253827166,0.13767006802721088,0.0,0.21428571428571427,0.0
graph,graph_01,raw_correlation,root_status,root,6,,pending,0.6666666666666666,0.906237027825807,0.07876567876567876,0.0,0.0,0.0
graph,graph_01,uniform,root_status,non_root,14,,pending,0.2857142857142857,0.9215867560518645,0.11300233809632305,0.0,0.14285714285714285,0.0
graph,graph_01,uniform,root_status,root,6,,pending,0.0,0.9067665939286874,0.053273707143676186,0.0,0.0,0.0
graph,graph_02,core_oracle_estimated_weights,root_status,non_root,14,,pending,0.5714285714285714,0.8595685383799986,0.1368234574531567,0.0,0.35714285714285715,0.0
graph,graph_02,core_oracle_estimated_weights,root_status,root,6,,pending,0.5,0.49214604894162123,0.2551742919389978,0.0,0.5,0.0
graph,graph_02,core_oracle_true_weights,root_status,non_root,14,,pending,0.7142857142857143,0.8849891651296333,0.1372755512461395,0.0,0.42857142857142855,0.0
graph,graph_02,core_oracle_true_weights,root_status,root,6,,pending,0.5,0.5994949204200152,0.2255446623093682,0.0,0.5,0.0
graph,graph_02,core_shuffled_graph,root_status,non_root,280,,pending,0.3821428571428571,0.8138279924377719,0.13670796342705893,0.0,0.23214285714285715,0.0
graph,graph_02,core_shuffled_graph,root_status,root,120,,pending,0.39166666666666666,0.5823300211580843,0.18193618268985917,0.008333333333333333,0.3416666666666667,0.008333333333333333
graph,graph_02,core_reversed_graph,root_status,non_root,14,,pending,0.6428571428571429,0.8803327779380778,0.15093537414965988,0.0,0.42857142857142855,0.0
graph,graph_02,core_reversed_graph,root_status,root,6,,pending,0.5,0.8785952780199991,0.2417483660130719,0.0,0.5,0.0
graph,graph_02,raw_correlation,root_status,non_root,14,,pending,0.8571428571428571,0.9142163974614151,0.08406473741502492,0.0,0.0,0.0
graph,graph_02,raw_correlation,root_status,root,6,,pending,0.6666666666666666,0.9176778740433997,0.18584656084656084,0.0,0.3333333333333333,0.0
graph,graph_02,uniform,root_status,non_root,14,,pending,0.14285714285714285,0.9132769115018645,0.0835643449503467,0.0,0.0,0.0
graph,graph_02,uniform,root_status,root,6,,pending,0.3333333333333333,0.9186254766590213,0.14285435067168814,0.0,0.3333333333333333,0.0
aggregate,aggregate,core_oracle_estimated_weights,visible_parent,no,18,,pending,0.7222222222222222,0.5016680963605152,0.2846191843740863,0.0,0.6111111111111112,0.0
aggregate,aggregate,core_oracle_estimated_weights,visible_parent,yes,42,,pending,0.6666666666666666,0.850007758080527,0.19300096832991567,0.0,0.5238095238095238,0.0
aggregate,aggregate,core_oracle_true_weights,visible_parent,no,18,,pending,0.6666666666666666,0.579739536158527,0.27752041894198753,0.0,0.6111111111111112,0.0
aggregate,aggregate,core_oracle_true_weights,visible_parent,yes,42,,pending,0.6904761904761905,0.8758324789531226,0.18231841882051966,0.0,0.5,0.0
aggregate,aggregate,core_shuffled_graph,visible_parent,no,360,,pending,0.3888888888888889,0.584732740875093,0.1635797161477631,0.005555555555555556,0.29444444444444445,0.005555555555555556
aggregate,aggregate,core_shuffled_graph,visible_parent,yes,840,,pending,0.37023809523809526,0.7957457551500104,0.14500180121019904,0.002380952380952381,0.25357142857142856,0.002380952380952381
aggregate,aggregate,core_reversed_graph,visible_parent,no,18,,pending,0.7222222222222222,0.8670942364588435,0.2614690320572673,0.0,0.5555555555555556,0.0
aggregate,aggregate,core_reversed_graph,visible_parent,yes,42,,pending,0.7142857142857143,0.8798189839124634,0.1831743419978714,0.0,0.40476190476190477,0.0
aggregate,aggregate,raw_correlation,visible_parent,no,18,,pending,0.6666666666666666,0.9125491530346572,0.1359554026220693,0.0,0.2222222222222222,0.0
aggregate,aggregate,raw_correlation,visible_parent,yes,42,,pending,0.7380952380952381,0.9173395730843952,0.1079580656537755,0.0,0.11904761904761904,0.0
aggregate,aggregate,uniform,visible_parent,no,18,,pending,0.2222222222222222,0.9147146856724186,0.09607487288730837,0.0,0.1111111111111111,0.0
aggregate,aggregate,uniform,visible_parent,yes,42,,pending,0.2857142857142857,0.9155970774461867,0.09025890597927307,0.0,0.047619047619047616,0.0
graph,graph_00,core_oracle_estimated_weights,visible_parent,no,6,,pending,1.0,0.39371575345707965,0.36666666666666664,0.0,0.8333333333333334,0.0
graph,graph_00,core_oracle_estimated_weights,visible_parent,yes,14,,pending,1.0,0.796394990248377,0.24948979591836734,0.0,0.7142857142857143,0.0
graph,graph_00,core_oracle_true_weights,visible_parent,no,6,,pending,0.8333333333333334,0.48429274499228625,0.375,0.0,0.8333333333333334,0.0
graph,graph_00,core_oracle_true_weights,visible_parent,yes,14,,pending,0.9285714285714286,0.8417533749507543,0.22776360544217686,0.0,0.6428571428571429,0.0
graph,graph_00,core_shuffled_graph,visible_parent,no,120,,pending,0.35,0.5608039374060049,0.16157001949861857,0.0,0.2916666666666667,0.0
graph,graph_00,core_shuffled_graph,visible_parent,yes,280,,pending,0.39285714285714285,0.7745654908939132,0.15169093180150234,0.007142857142857143,0.2785714285714286,0.007142857142857143
graph,graph_00,core_reversed_graph,visible_parent,no,6,,pending,0.8333333333333334,0.841921011491912,0.3432539682539682,0.0,0.6666666666666666,0.0
graph,graph_00,core_reversed_graph,visible_parent,yes,14,,pending,0.9285714285714286,0.8730389827335439,0.24316457352171636,0.0,0.5,0.0
graph,graph_00,raw_correlation,visible_parent,no,6,,pending,0.6666666666666666,0.913732557234765,0.14325396825396824,0.0,0.3333333333333333,0.0
graph,graph_00,raw_correlation,visible_parent,yes,14,,pending,0.8571428571428571,0.9150089964090541,0.10213939151909077,0.0,0.14285714285714285,0.0
graph,graph_00,uniform,visible_parent,no,6,,pending,0.3333333333333333,0.9187519864295469,0.09209656084656086,0.0,0.0,0.0
graph,graph_00,uniform,visible_parent,yes,14,,pending,0.42857142857142855,0.9119275647848306,0.07421003489114944,0.0,0.0,0.0
graph,graph_01,core_oracle_estimated_weights,visible_parent,no,6,,pending,0.6666666666666666,0.6191424866828449,0.2320165945165945,0.0,0.5,0.0
graph,graph_01,core_oracle_estimated_weights,visible_parent,yes,14,,pending,0.42857142857142855,0.8940597456132048,0.19268965161822305,0.0,0.5,0.0
graph,graph_01,core_oracle_true_weights,visible_parent,no,6,,pending,0.6666666666666666,0.6554309430632795,0.2320165945165945,0.0,0.5,0.0
graph,graph_01,core_oracle_true_weights,visible_parent,yes,14,,pending,0.42857142857142855,0.9007548967789799,0.1819160997732426,0.0,0.42857142857142855,0.0
graph,graph_01,core_shuffled_graph,visible_parent,no,120,,pending,0.425,0.61106426406119,0.1472329462548116,0.008333333333333333,0.25,0.008333333333333333
graph,graph_01,core_shuffled_graph,visible_parent,yes,280,,pending,0.3357142857142857,0.7988437821183464,0.14660650840203582,0.0,0.25,0.0
graph,graph_01,core_reversed_graph,visible_parent,no,6,,pending,0.8333333333333334,0.8807664198646196,0.19940476190476186,0.0,0.5,0.0
graph,graph_01,core_reversed_graph,visible_parent,yes,14,,pending,0.5714285714285714,0.8860851910657684,0.15542307832223798,0.0,0.2857142857142857,0.0
graph,graph_01,raw_correlation,visible_parent,no,6,,pending,0.6666666666666666,0.906237027825807,0.07876567876567876,0.0,0.0,0.0
graph,graph_01,raw_correlation,visible_parent,yes,14,,pending,0.5,0.9227933253827166,0.13767006802721088,0.0,0.21428571428571427,0.0
graph,graph_01,uniform,visible_parent,no,6,,pending,0.0,0.9067665939286874,0.053273707143676186,0.0,0.0,0.0
graph,graph_01,uniform,visible_parent,yes,14,,pending,0.2857142857142857,0.9215867560518645,0.11300233809632305,0.0,0.14285714285714285,0.0
graph,graph_02,core_oracle_estimated_weights,visible_parent,no,6,,pending,0.5,0.49214604894162123,0.2551742919389978,0.0,0.5,0.0
graph,graph_02,core_oracle_estimated_weights,visible_parent,yes,14,,pending,0.5714285714285714,0.8595685383799986,0.1368234574531567,0.0,0.35714285714285715,0.0
graph,graph_02,core_oracle_true_weights,visible_parent,no,6,,pending,0.5,0.5994949204200152,0.2255446623093682,0.0,0.5,0.0
graph,graph_02,core_oracle_true_weights,visible_parent,yes,14,,pending,0.7142857142857143,0.8849891651296333,0.1372755512461395,0.0,0.42857142857142855,0.0
graph,graph_02,core_shuffled_graph,visible_parent,no,120,,pending,0.39166666666666666,0.5823300211580843,0.18193618268985917,0.008333333333333333,0.3416666666666667,0.008333333333333333
graph,graph_02,core_shuffled_graph,visible_parent,yes,280,,pending,0.3821428571428571,0.8138279924377719,0.13670796342705893,0.0,0.23214285714285715,0.0
graph,graph_02,core_reversed_graph,visible_parent,no,6,,pending,0.5,0.8785952780199991,0.2417483660130719,0.0,0.5,0.0
graph,graph_02,core_reversed_graph,visible_parent,yes,14,,pending,0.6428571428571429,0.8803327779380778,0.15093537414965988,0.0,0.42857142857142855,0.0
graph,graph_02,raw_correlation,visible_parent,no,6,,pending,0.6666666666666666,0.9176778740433997,0.18584656084656084,0.0,0.3333333333333333,0.0
graph,graph_02,raw_correlation,visible_parent,yes,14,,pending,0.8571428571428571,0.9142163974614151,0.08406473741502492,0.0,0.0,0.0
graph,graph_02,uniform,visible_parent,no,6,,pending,0.3333333333333333,0.9186254766590213,0.14285435067168814,0.0,0.3333333333333333,0.0
graph,graph_02,uniform,visible_parent,yes,14,,pending,0.14285714285714285,0.9132769115018645,0.0835643449503467,0.0,0.0,0.0
