scope,graph_id,world,group,arm,n_instances,n_nodes,judge_acc,judge_status,displacement_norm,gold_cosine,centered_cosine,prediction_margin,mrr,recall_at_1,recall_at_5,match_acc,exact
,,,non_root_visible_parent,residual_only_oracle,42,42,,pending,2.4216240645758805e-08,0.8532674160979691,0.10066182679266149,-0.06562831271951827,0.19119154409402087,0.0,0.5,0.7619047619047619,0.0
,,,non_root_visible_parent,independence_only_oracle,42,42,,pending,3.720855229781094,0.41185878235091994,0.09751110449450177,-0.09419050747774046,0.1782862945816285,0.0,0.3333333333333333,0.6666666666666666,0.0
,,,non_root_visible_parent,symmetrized_oracle,42,42,,pending,0.6903780313375305,0.37571964587354456,0.08288915702439426,-0.12395615633844197,0.21590694358551504,0.0,0.5714285714285714,0.7857142857142857,0.0
,,,non_root_visible_parent,markov_blanket_oracle,42,42,,pending,0.9299101730724919,0.04546505254552599,0.049188265543298235,-0.12605145992836744,0.19608552822838532,0.0,0.4523809523809524,0.6190476190476191,0.0
,,,non_root_visible_parent,same_module_graph,42,42,,pending,0.5642875388041789,0.7939910107084177,0.032523584776147176,-0.121647935444817,0.17136038564609996,0.0,0.40476190476190477,0.5476190476190477,0.0
,,,non_root_visible_parent,reversed_full,42,42,,pending,0.4928208596589529,0.880596098682621,0.07634776949828515,-0.0679044002138189,0.18379542376391114,0.0,0.40476190476190477,0.7142857142857143,0.0
,,,non_root_visible_parent,shuffled_full,840,42,,pending,0.7546435721084287,0.7979688958212241,-0.0005204622854903367,-0.12184972019605637,0.1441818399751836,0.0,0.25,0.3678571428571429,0.0
,,,non_root_visible_parent,raw_correlation,42,42,,pending,0.3904861678028244,0.9173395730843952,-0.09958034564588512,-0.02396990576412985,0.1079580656537755,0.0,0.11904761904761904,0.7380952380952381,0.0
,,,non_root_visible_parent,uniform,42,42,,pending,0.41940611853640875,0.9155970774461867,-0.4082218455852107,-0.023395916136233225,0.09025890597927307,0.0,0.047619047619047616,0.2857142857142857,0.0
,,,no_visible_parent_visible_child,full_oracle,17,17,,pending,0.1986371183508497,0.5693663387837997,0.12491886716398669,-0.21057567266528496,0.2895967834549149,0.0,0.5882352941176471,0.7058823529411765,0.0
,,,no_visible_parent_visible_child,generation_only_oracle,17,17,,pending,0.1514894053496982,0.6454049912463852,0.12358088438514384,-0.17470564171141179,0.27913926711504566,0.0,0.5882352941176471,0.7058823529411765,0.0
,,,no_visible_parent_visible_child,oracle_without_generation,17,17,,pending,0.9845061539029312,0.11384718415591288,0.10811805102101561,-0.18101109563168216,0.2977124183006536,0.0,0.7058823529411765,0.7058823529411765,0.0
,,,no_visible_parent_visible_child,residual_only_oracle,17,17,,pending,2.4048292949121605e-08,0.6597481955074842,0.1257539366146963,-0.1853115419182832,0.28880525472220975,0.0,0.5882352941176471,0.7647058823529411,0.0
,,,no_visible_parent_visible_child,independence_only_oracle,17,17,,pending,4.482197361726328,0.10839416097088259,0.1281605275818765,-0.20290721106814008,0.31143790849673203,0.0,0.7058823529411765,0.7058823529411765,0.0
,,,no_visible_parent_visible_child,symmetrized_oracle,17,17,,pending,0.5862822526851659,0.5742008825381114,0.07987664261641136,-0.1816886094590633,0.26656322693474394,0.0,0.7058823529411765,0.7058823529411765,0.0
,,,no_visible_parent_visible_child,markov_blanket_oracle,17,17,,pending,0.668340581001815,0.45259395579430856,0.07263712487369828,-0.18462251906381563,0.2704000248117895,0.0,0.6470588235294118,0.5882352941176471,0.0
,,,no_visible_parent_visible_child,same_module_graph,17,17,,pending,0.7259404363401876,0.3857399694205911,0.03844628062484453,-0.17126535254104122,0.21922268907563025,0.0,0.4117647058823529,0.4117647058823529,0.0
,,,no_visible_parent_visible_child,reversed_full,17,17,,pending,0.6484323312839411,0.8694392405574588,0.10900086793922578,-0.10569089450497604,0.27211930226636105,0.0,0.6470588235294118,0.7647058823529411,0.0
,,,no_visible_parent_visible_child,shuffled_full,340,17,,pending,1.0719651033705644,0.6339121557352563,0.007480974124924739,-0.15107266976046071,0.16878947481877277,0.0,0.31176470588235294,0.39999999999999997,0.0
,,,no_visible_parent_visible_child,raw_correlation,17,17,,pending,0.6921296920570542,0.9130062314718962,0.0035141111742010797,-0.04199397116500786,0.13554941790235908,0.0,0.23529411764705882,0.7058823529411765,0.0
,,,no_visible_parent_visible_child,uniform,17,17,,pending,0.7702808537242624,0.9141289430476748,-0.43421003473518244,-0.025162956347929828,0.09332297465378872,0.0,0.11764705882352941,0.23529411764705882,0.0
,,,no_visible_structural_anchor,full_oracle,1,1,,pending,0.7082942185610643,-0.64920202483532,0.04611892166041541,-0.17268874301368187,0.2,0.0,1.0,1.0,0.0
,,,no_visible_structural_anchor,generation_only_oracle,1,1,,pending,0.019469726616406044,-0.7015744862711911,0.05125737418956047,-0.14666281971119477,0.16666666666666666,0.0,0.0,1.0,0.0
,,,no_visible_structural_anchor,oracle_without_generation,1,1,,pending,3.4087673730455665,-0.030662012036636464,-0.09319869030241094,-0.07448567181976268,0.05263157894736842,0.0,0.0,0.0,0.0
,,,no_visible_structural_anchor,residual_only_oracle,1,1,,pending,7.314720811904013e-08,-0.701712770045947,0.05125328920942347,-0.14650697088611175,0.16666666666666666,0.0,0.0,1.0,0.0
,,,no_visible_structural_anchor,independence_only_oracle,1,1,,pending,7.708241037809799,0.07817324102966286,0.13392633373740567,-0.19318505137465863,0.5,0.0,1.0,1.0,0.0
,,,no_visible_structural_anchor,symmetrized_oracle,1,1,,pending,2.457120410293894,-0.8061761717022289,-0.01880511019023292,-0.11692658658231092,0.1111111111111111,0.0,0.0,0.0,0.0
,,,no_visible_structural_anchor,markov_blanket_oracle,1,1,,pending,2.095570391880939,-0.8853280963942218,-0.00490134950982218,-0.06441358470892222,0.1111111111111111,0.0,0.0,0.0,0.0
,,,no_visible_structural_anchor,same_module_graph,1,1,,pending,3.0173773229866883,0.2562577390747284,-0.017051108582193164,-0.17175582160077268,0.1,0.0,0.0,1.0,0.0
,,,no_visible_structural_anchor,reversed_full,1,1,,pending,3.1499886914498716,0.8318268392906257,-0.011324993390798625,-0.11909295125564667,0.25,0.0,1.0,0.0,0.0
,,,no_visible_structural_anchor,shuffled_full,20,1,,pending,3.3482278459592765,0.39615079124296826,-0.01980057401370423,-0.15200820995540515,0.1858724323062558,0.0,0.35,0.3,0.0
,,,no_visible_structural_anchor,raw_correlation,1,1,,pending,3.701449399458246,0.9047788196015948,-0.041356403702833354,-0.049376736726158166,0.14285714285714285,0.0,0.0,0.0,0.0
,,,no_visible_structural_anchor,uniform,1,1,,pending,3.7524117311550778,0.9246723102930625,-0.4128080819727999,-0.008701505182667435,0.14285714285714285,0.0,0.0,0.0,0.0
