analysis,group,comparison,primary_arm,comparator_arm,metric,status,mean,ci_low,ci_high,confidence_level,paired_win_rate,bootstrap_positive_rate,draws,seed,n_graphs,n_folds,n_nodes
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,recall_at_5,complete,0.27380952380952384,0.0488095238095238,0.4878121370499418,0.95,0.5238095238095238,0.9914,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,match_acc,complete,0.2988095238095238,-0.010975609756097552,0.5865853658536585,0.95,0.6666666666666666,0.9706,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,gold_cosine,complete,-0.06558931936565973,-0.18064852263033457,-0.019431401712072305,0.95,0.11904761904761904,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,centered_cosine,complete,0.5101053224153272,0.4387816366110232,0.5985214965640835,0.95,1.0,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,prediction_margin,complete,-0.04643369405407724,-0.06046264421518492,-0.0320449116790556,0.95,0.023809523809523808,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,mrr,complete,0.10274206235064262,0.045133241352360826,0.17646898253385399,0.95,0.8809523809523809,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,recall_at_5,complete,0.47619047619047616,0.2,0.75,0.95,0.5,0.9999,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,match_acc,complete,0.38095238095238093,0.047619047619047616,0.6585365853658537,0.95,0.4523809523809524,0.9837,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_uniform,full_oracle,uniform,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,gold_cosine,complete,-0.06733181500386827,-0.18263884237893055,-0.02174104048363926,0.95,0.09523809523809523,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,centered_cosine,complete,0.20146382247600153,0.15470668617040878,0.25232229407150936,0.95,0.9761904761904762,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,prediction_margin,complete,-0.04585970442618063,-0.061961343611085934,-0.029959442494265773,0.95,0.023809523809523808,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,mrr,complete,0.08504290267614018,0.0365098327283812,0.1511197164643462,0.95,0.7619047619047619,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,recall_at_5,complete,0.40476190476190477,0.18604651162790697,0.6341463414634146,0.95,0.40476190476190477,1.0,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,match_acc,complete,-0.07142857142857142,-0.35714285714285715,0.1951219512195122,0.95,0.07142857142857142,0.2833,10000,88174,3,15,42
structural_group,non_root,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88174,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,gold_cosine,complete,-0.030588340602094113,-0.14620016469886424,0.017637712774588667,0.95,0.47619047619047616,0.247,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,centered_cosine,complete,0.025535707331831293,-0.012632319181767389,0.06830345490265055,0.95,0.5476190476190477,0.8921,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,prediction_margin,complete,-0.0019252099764915718,-0.016831142352673734,0.012787403215110427,0.95,0.4523809523809524,0.4089,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,mrr,complete,0.009205544566004536,-0.02325762337098582,0.04353769422194193,0.95,0.40476190476190477,0.689,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_5,complete,0.11904761904761904,-0.13961794019933482,0.32558139534883723,0.95,0.19047619047619047,0.8186,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,match_acc,complete,-0.047619047619047616,-0.2619047619047619,0.14285714285714285,0.95,0.07142857142857142,0.3014,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_reversed_full,full_oracle,reversed_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,gold_cosine,complete,0.052038862259302675,-0.06314057935572567,0.112016894920106,0.95,0.9285714285714286,0.8787,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,centered_cosine,complete,0.10240393911560682,0.04179900220413278,0.16892668632049307,0.95,0.8809523809523809,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,prediction_margin,complete,0.0520201100057459,0.03591033581773897,0.07021554839538657,0.95,0.9047619047619048,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,mrr,complete,0.04881912835473206,-0.0014108961791440093,0.10391632712291607,0.95,0.7380952380952381,0.9686,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,recall_at_5,complete,0.27380952380952384,0.044047619047619044,0.4888922764227641,0.95,0.5238095238095238,0.9892,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,match_acc,complete,0.2988095238095238,3.851086116671281e-18,0.5871802325581394,0.95,0.6666666666666666,0.975,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,gold_cosine,complete,-0.06558931936565973,-0.18350512946215242,-0.01941133955178589,0.95,0.11904761904761904,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,centered_cosine,complete,0.5101053224153272,0.4404911422565492,0.597757828302172,0.95,1.0,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,prediction_margin,complete,-0.04643369405407724,-0.060815393280605985,-0.03221984902655754,0.95,0.023809523809523808,0.0,10000,88175,3,15,42
