graph_id,world,fold,node_id,arm,shuffle_id,term,term_active,optimization_applicable,status,raw_final_gradient_norm,active_final_gradient_norm,total_final_gradient_norm,raw_near_zero,near_zero,exploding,nonfinite
graph_00,industrial_cooling_system,0,node_000,oracle_without_generation,,norm,True,True,,0.00014837463095318526,0.00014837463095318526,0.0001553831243654713,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,oracle_without_generation,,norm,True,True,,8.30310964374803e-05,8.30310964374803e-05,0.00010217177623417228,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,oracle_without_generation,,norm,True,True,,2.2162175810080953e-05,2.2162175810080953e-05,0.0002543983864597976,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,oracle_without_generation,,norm,True,True,,3.719364258358837e-06,3.719364258358837e-06,3.719364258358837e-06,False,False,False,False
graph_00,industrial_cooling_system,0,node_000,residual_only_oracle,,generation,False,True,,0.09877612441778183,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_007,residual_only_oracle,,generation,False,True,,0.16374261677265167,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,residual_only_oracle,,generation,False,True,,0.15166127681732178,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,residual_only_oracle,,generation,False,True,,0.11699983477592468,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_000,residual_only_oracle,,residual_norm,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,residual_only_oracle,,residual_norm,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,residual_only_oracle,,residual_norm,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,residual_only_oracle,,residual_norm,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,residual_only_oracle,,residual_alignment,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,residual_only_oracle,,residual_alignment,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,residual_only_oracle,,residual_alignment,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,residual_only_oracle,,residual_alignment,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,residual_only_oracle,,independence,False,True,,0.010507818311452866,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_007,residual_only_oracle,,independence,False,True,,0.005035168491303921,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,residual_only_oracle,,independence,False,True,,0.0031029493547976017,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,residual_only_oracle,,independence,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,residual_only_oracle,,bridge,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,residual_only_oracle,,bridge,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,residual_only_oracle,,bridge,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,residual_only_oracle,,bridge,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,residual_only_oracle,,norm,False,True,,0.00035378371831029654,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_007,residual_only_oracle,,norm,False,True,,0.002508728299289942,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,residual_only_oracle,,norm,False,True,,0.000798723369371146,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,residual_only_oracle,,norm,False,True,,0.0003323250275570899,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_000,independence_only_oracle,,generation,False,True,,1.623274564743042,0.0,3.6654579162131995e-05,False,True,False,False
graph_00,industrial_cooling_system,0,node_007,independence_only_oracle,,generation,False,True,,6.824817180633545,0.0,4.224198710289784e-05,False,True,False,False
graph_00,industrial_cooling_system,0,node_012,independence_only_oracle,,generation,False,True,,6.196568012237549,0.0,3.087981167482212e-05,False,True,False,False
graph_00,industrial_cooling_system,0,node_018,independence_only_oracle,,generation,False,True,,0.0322076790034771,0.0,0.0,False,True,False,False
graph_00,industrial_cooling_system,0,node_000,independence_only_oracle,,residual_norm,False,True,,0.0,0.0,3.6654579162131995e-05,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,independence_only_oracle,,residual_norm,False,True,,0.0,0.0,4.224198710289784e-05,True,True,False,False
